data_id,data_name,products,link
weis,Weis,1249,https://world.openfoodfacts.org/brand/weis
lay-s,Lay-s,1245,https://world.openfoodfacts.org/brand/lay-s
ja,Ja,1224,https://world.openfoodfacts.org/brand/ja
alipende,Alipende,1215,https://world.openfoodfacts.org/brand/alipende
shoprite,Shoprite,1214,https://world.openfoodfacts.org/brand/shoprite
la-nouvelle-agriculture,La-nouvelle-agriculture,1132,https://world.openfoodfacts.org/brand/la-nouvelle-agriculture
hipp,Hipp,1132,https://world.openfoodfacts.org/brand/hipp
dm-bio,Dm-bio,1106,https://world.openfoodfacts.org/brand/dm-bio
nescafe,Nescafe,1102,https://world.openfoodfacts.org/brand/nescafe
harris-teeter,Harris-teeter,1089,https://world.openfoodfacts.org/brand/harris-teeter
whole-foods-market,Whole-foods-market,1076,https://world.openfoodfacts.org/brand/whole-foods-market
rewe-beste-wahl,Rewe-beste-wahl,1073,https://world.openfoodfacts.org/brand/rewe-beste-wahl
food-club,Food-club,1056,https://world.openfoodfacts.org/brand/food-club
coles,Coles,1046,https://world.openfoodfacts.org/brand/coles
365-everyday-value,365-everyday-value,1043,https://world.openfoodfacts.org/brand/365-everyday-value
bonne-maman,Bonne-maman,1036,https://world.openfoodfacts.org/brand/bonne-maman
goya,Goya,985,https://world.openfoodfacts.org/brand/goya
the-kroger-co,The-kroger-co,983,https://world.openfoodfacts.org/brand/the-kroger-co
consilia,Consilia,973,https://world.openfoodfacts.org/brand/consilia
penny,Penny,968,https://world.openfoodfacts.org/brand/penny
deluxe,Deluxe,966,https://world.openfoodfacts.org/brand/deluxe
giant-eagle,Giant-eagle,962,https://world.openfoodfacts.org/brand/giant-eagle
andros,Andros,962,https://world.openfoodfacts.org/brand/andros
wal-mart-stores-inc,Wal-mart-stores-inc,951,https://world.openfoodfacts.org/brand/wal-mart-stores-inc
primia,Primia,944,https://world.openfoodfacts.org/brand/primia
jumbo,Jumbo,943,https://world.openfoodfacts.org/brand/jumbo
continente,Continente,943,https://world.openfoodfacts.org/brand/continente
migros-bio,Migros-bio,936,https://world.openfoodfacts.org/brand/migros-bio
u-bio,U-bio,931,https://world.openfoodfacts.org/brand/u-bio
kaufland,Kaufland,927,https://world.openfoodfacts.org/brand/kaufland
